ID,UTTERANCE,CORE RELATIONS
631,genre for gone with the wind,movie.genre
632,how is the movie classified,movie.genre
633,what genre is the movie,movie.genre
634,what is the movie category,movie.genre
635,how would you describe the movie,movie.genre
636,type of movie,movie.genre
637,what is the classification of movie,movie.genre
638,what is the genre for movie,movie.genre
639,what is the movie genre,movie.genre
640,what kind of movie,movie.genre
641,what type of movie is this,movie.genre
642,i would like look up the genre step up is in,movie.genre
643,search for the genre step up in,movie.genre
644,what genre is step up in,movie.genre
645,what genre is calendar girls in,movie.genre
646,what is the genre for the patriot,movie.genre
647,what genre is network in,movie.genre
648,find out the genre for the movie rebel,movie.genre
649,genre for the avengers,movie.genre
650,can you tell me what genre the movie avatar falls in,movie.genre
651,i need to know the genre of the movie avatar,movie.genre
652,show me the genre of the movie avatar,movie.genre
653,what genre is superman,movie.genre
654,pretty girl movie genre,movie.genre
655,pretty girl what is the movie's genre,movie.genre
656,what genre is pretty girl,movie.genre
657,what genre is the movie pretty girl,movie.genre
658,find out what kind of movie grease is,movie.genre
659,i d like to know the genre of the film grease,movie.genre
660,i would like to know the genre of grease,movie.genre
661,what kind of movie is grease,movie.genre
662,find out the genre for the movie annamayya,movie.genre
663,what movie category is friday the 13th,movie.genre
664,tell me what genre the tommyknockers is,movie.genre
665,what genre is the hangover,movie.genre
666,what catergory is ted in,movie.genre
667,what genre is ted considered,movie.genre
668,what type of movie is ted considered to be,movie.genre
669,genre for while you were sleeping,movie.genre
670,what genre is finding nemo,movie.genre
671,which language is used in the movie,movie.language
672,language of sound of music,movie.language
673,what language is this film,movie.language
674,what are the different languages this movie come in,movie.language
675,what foreign language is spoken in movie,movie.language
676,what language is movie in,movie.language
677,what language is the movie in,movie.language
678,what language is the movie in,movie.language
679,language of anna karinia,movie.language
680,language of godzilla movie,movie.language
681,language of hamlet,movie.language
682,can you tell me the language of the movie hero,movie.language
683,i need to know what is the language of the movie hero,movie.language
684,tell me what is the language of the movie hero,movie.language
685,language of bullhead,movie.language
686,what language is shindler's list in,movie.language
687,what language did the characters speak in black swan,movie.language
688,what language is black swan,movie.language
689,please find what language the chaser is in,movie.language
690,what language is the chaser in,movie.language
691,look up what language the chaser is in,movie.language
692,ondskan's language,movie.language
693,what language is la havre in,movie.language
694,what foreign language is the movie belle available to view in,movie.language
695,what language can i watch the movie the professional,movie.language
696,what language is the professional in,movie.language
697,how do they speak in the movie the professional,movie.language
698,what language is spoken in indochine,movie.language
699,language of the film revanche,movie.language
700,what language was aguirre wrath of god in,movie.language
701,what language is passion of the christ in,movie.language
702,i want to know in what language was ju on filmed,movie.language
703,i want to know the original language of ju on,movie.language
704,tell me the language of ju on,movie.language
705,what language is ju on on,movie.language
706,what language is the movie elling in,movie.language
707,language of a separation,movie.language
708,what s the language of moscow does not believe in tears,movie.language
709,what is the language of the movie aankhen,movie.language
710,can you tell me the language of the movie aankhen,movie.language
711,what are the names of films produced by steven spielberg,movie.produced_by
712,can you tell me names of some movies by director martin scorsese,movie.directed_by
713,find movie titles,NO_REL
714,what are the names of movies made in the united states,movie.country
715,i would like to know the names of all the movies which have been directed by james cameron,movie.directed_by
716,what are the titles of all the movies that george lucas produced,movie.produced_by
717,names of romantic indian films,movie.country movie.language movie.genre
718,can you show me names of some indian romantic movies,movie.country movie.language movie.genre
719,i would like to know names of some indian movies,movie.country movie.language
720,japanese movie titles,movie.country movie.language
721,can you give me names of some movies having pg thirteen rating,movie.rating
722,i would like to get names of some movies with pg thirteen rating,movie.rating
723,show me names of some romantic movies having a pg thirteen rating,movie.rating movie.genre
724,what are the names of movies with zombies in them,movie.subjects
725,i need to know the names of all the movies produced by william packer,movie.produced_by
726,stephen king directed what movie,movie.directed_by
727,what movies did stephen king direct,movie.directed_by
728,watch the last james cameron movie,movie.directed_by movie.initial_release_date
729,find movies by release date,movie.initial_release_date
730,show movie ratings,movie.rating
731,movie ratings,movie.rating
732,richard lester produced what other movies,movie.produced_by
733,show me westerns,movie.genre
734,was kevin bacon in apollo thirteen,movie.starring.actor
735,i need movie information for life is beautiful,NO_REL
736,life is beautiful movie page,NO_REL
